system:index,elevation,random,slope,tile_id,.geo
57348,892.3693927867836,1.9262086673021983E-5,16.292646667213436,tile_45.410_38.980,"{""type"":""Polygon"",""coordinates"":[[[45.41,38.98],[45.42,38.98],[45.419999999999995,38.989999999999995],[45.41,38.99],[45.41,38.98]]]}"
82267,1793.3628324630945,4.599050120612791E-5,35.32342724356576,tile_46.240_39.170,"{""type"":""Polygon"",""coordinates"":[[[46.24000000000001,39.17],[46.25,39.17],[46.24999999999999,39.18],[46.24,39.18],[46.24000000000001,39.17]]]}"
55497,723.4287930897061,4.66027642180844E-5,10.422444313220558,tile_45.340_41.470,"{""type"":""Polygon"",""coordinates"":[[[45.34,41.47],[45.35,41.47],[45.35,41.48],[45.339999999999996,41.48],[45.34,41.47]]]}"
87057,1839.2972455069407,4.882155712349068E-5,29.69491055496197,tile_46.400_39.070,"{""type"":""Polygon"",""coordinates"":[[[46.4,39.06999999999999],[46.41,39.07],[46.41,39.080000000000005],[46.4,39.080000000000005],[46.4,39.06999999999999]]]}"
30495,1875.1366108083791,5.1312151723048594E-5,10.742474240058144,tile_44.510_40.450,"{""type"":""Polygon"",""coordinates"":[[[44.50999999999999,40.45000000000001],[44.519999999999996,40.45],[44.519999999999996,40.46000000000001],[44.51,40.46],[44.50999999999999,40.45000000000001]]]}"
67603,2080.1293706293714,5.90180791637529E-5,12.39521859314512,tile_45.750_39.530,"{""type"":""Polygon"",""coordinates"":[[[45.75,39.529999999999994],[45.76,39.529999999999994],[45.75999999999999,39.54],[45.75,39.54],[45.75,39.529999999999994]]]}"
26077,1488.9632640513726,6.417874572139937E-5,18.585487118937802,tile_44.360_41.270,"{""type"":""Polygon"",""coordinates"":[[[44.36,41.27],[44.37,41.27],[44.370000000000005,41.28000000000001],[44.36,41.28000000000001],[44.36,41.27]]]}"
90531,183.16010589842887,7.528485743757418E-5,1.8064100734343196,tile_46.510_40.810,"{""type"":""Polygon"",""coordinates"":[[[46.510000000000005,40.81000000000001],[46.51999999999999,40.81000000000001],[46.519999999999996,40.82],[46.51,40.82],[46.510000000000005,40.81000000000001]]]}"
71941,330.4234138564263,8.705912233664126E-5,3.1071184501673295,tile_45.890_40.910,"{""type"":""Polygon"",""coordinates"":[[[45.88999999999999,40.91],[45.900000000000006,40.91],[45.9,40.92],[45.88999999999999,40.92],[45.88999999999999,40.91]]]}"
28274,2086.312212955827,9.64030917895986E-5,15.205438933198048,tile_44.440_39.240,"{""type"":""Polygon"",""coordinates"":[[[44.44,39.24],[44.449999999999996,39.24],[44.449999999999996,39.25],[44.44,39.25],[44.44,39.24]]]}"
102729,977.4236643937992,1.0339952531079888E-4,12.729433584694862,tile_46.920_39.790,"{""type"":""Polygon"",""coordinates"":[[[46.92,39.79],[46.93000000000001,39.79],[46.93000000000001,39.8],[46.919999999999995,39.8],[46.92,39.79]]]}"
10777,2575.093391185024,1.0351746761994018E-4,3.866564507342651,tile_43.850_41.270,"{""type"":""Polygon"",""coordinates"":[[[43.849999999999994,41.27],[43.85999999999999,41.27],[43.85999999999999,41.28000000000001],[43.849999999999994,41.28000000000001],[43.849999999999994,41.27]]]}"
36721,799.7031778979375,1.1200231199515187E-4,3.0516821161438417,tile_44.720_39.710,"{""type"":""Polygon"",""coordinates"":[[[44.72,39.71000000000001],[44.73,39.71000000000001],[44.73,39.720000000000006],[44.72,39.72],[44.72,39.71000000000001]]]}"
84011,1501.6066199363595,1.1866853317732406E-4,22.094742736647344,tile_46.300_38.610,"{""type"":""Polygon"",""coordinates"":[[[46.3,38.61],[46.309999999999995,38.61],[46.309999999999995,38.62],[46.3,38.62],[46.3,38.61]]]}"
65930,936.8997831024878,1.280621095248735E-4,27.130543052596728,tile_45.690_40.800,"{""type"":""Polygon"",""coordinates"":[[[45.690000000000005,40.8],[45.7,40.8],[45.699999999999996,40.81],[45.690000000000005,40.809999999999995],[45.690000000000005,40.8]]]}"
35777,995.7971666419921,1.3406530217485724E-4,2.7334246571105334,tile_44.690_39.270,"{""type"":""Polygon"",""coordinates"":[[[44.68999999999999,39.27],[44.7,39.27000000000001],[44.7,39.28],[44.68999999999999,39.28],[44.68999999999999,39.27]]]}"
44344,1544.480886560663,1.4795544912060699E-4,21.452354133317304,tile_44.970_40.940,"{""type"":""Polygon"",""coordinates"":[[[44.97,40.94],[44.98,40.94],[44.98,40.94999999999998],[44.97,40.949999999999996],[44.97,40.94]]]}"
99319,2309.9280156472896,1.4867618765446178E-4,19.707994456289754,tile_46.810_38.690,"{""type"":""Polygon"",""coordinates"":[[[46.81,38.69],[46.82000000000001,38.69],[46.82,38.699999999999996],[46.81,38.699999999999996],[46.81,38.69]]]}"
98210,1792.0814132935457,1.535005716304383E-4,22.774719176238143,tile_46.770_39.600,"{""type"":""Polygon"",""coordinates"":[[[46.77,39.6],[46.78,39.6],[46.779999999999994,39.61],[46.77,39.61],[46.77,39.6]]]}"
109235,1492.1544664288215,1.5378428200896188E-4,14.278046244843111,tile_47.140_38.850,"{""type"":""Polygon"",""coordinates"":[[[47.14,38.85],[47.150000000000006,38.85],[47.150000000000006,38.86],[47.14000000000001,38.86],[47.14,38.85]]]}"
70046,2994.2335133992524,1.572643137571772E-4,14.657132317640714,tile_45.830_39.960,"{""type"":""Polygon"",""coordinates"":[[[45.830000000000005,39.96000000000001],[45.839999999999996,39.96000000000001],[45.839999999999996,39.97],[45.830000000000005,39.97],[45.830000000000005,39.96000000000001]]]}"
100009,1340.4344641469406,1.7206393828794742E-4,20.88696160624806,tile_46.830_39.590,"{""type"":""Polygon"",""coordinates"":[[[46.83,39.59000000000001],[46.839999999999996,39.59000000000001],[46.839999999999996,39.6],[46.83,39.6],[46.83,39.59000000000001]]]}"
